IoU Threshold,Confidence Threshold,Precision,Recall,F1-Score
0.1,0.1,0.8484760099168732,0.8484760099168732,0.8484760099168732
0.1,0.3,0.8646672635034318,0.8646672635034318,0.8646672635034318
0.1,0.5,0.892521129006538,0.892521129006538,0.892521129006538
0.1,0.7,0.7640671273445212,0.7640671273445212,0.7640671273445212
0.1,0.9,0.1661416017244238,0.1661416017244238,0.1661416017244238
0.3,0.1,0.8484760099168732,0.8484760099168732,0.8484760099168732
0.3,0.3,0.8643890795166344,0.8643890795166344,0.8643890795166344
0.3,0.5,0.892219387755102,0.892219387755102,0.892219387755102
0.3,0.7,0.7640671273445212,0.7640671273445212,0.7640671273445212
0.3,0.9,0.1661416017244238,0.1661416017244238,0.1661416017244238
0.5,0.1,0.8398896791987226,0.8398896791987226,0.8398896791987226
0.5,0.3,0.8552553444180523,0.8552553444180523,0.8552553444180523
0.5,0.5,0.8853057982525814,0.8853057982525814,0.8853057982525814
0.5,0.7,0.76232741617357,0.76232741617357,0.76232741617357
0.5,0.9,0.1661416017244238,0.1661416017244238,0.1661416017244238
0.7,0.1,0.7767031118587048,0.7767031118587048,0.7767031118587049
0.7,0.3,0.7921984798508533,0.7921984798508533,0.7921984798508533
0.7,0.5,0.8297872340425532,0.8297872340425532,0.8297872340425532
0.7,0.7,0.7454012697379131,0.7454012697379131,0.7454012697379131
0.7,0.9,0.1661416017244238,0.1661416017244238,0.1661416017244238
0.9,0.1,0.28146800121322413,0.28146800121322413,0.28146800121322413
0.9,0.3,0.2863612969634586,0.2863612969634586,0.2863612969634586
0.9,0.5,0.3046059140375948,0.3046059140375948,0.3046059140375948
0.9,0.7,0.32256074996916245,0.32256074996916245,0.32256074996916245
0.9,0.9,0.1567434210526316,0.1567434210526316,0.1567434210526316
